date;qty
14.12.2020;363992
15.12.2020;266850
16.12.2020;300260
17.12.2020;445919
18.12.2020;400379
19.12.2020;311133
20.12.2020;272477
21.12.2020;349328
22.12.2020;313446
23.12.2020;288600
24.12.2020;325644
25.12.2020;305115
26.12.2020;265283
27.12.2020;283194
28.12.2020;327721
29.12.2020;263364
30.12.2020;90894
31.12.2020;154657
01.01.2021;0
02.01.2021;54364
03.01.2021;304856
04.01.2021;288690
05.01.2021;279140
06.01.2021;344070
07.01.2021;322119
08.01.2021;305687
09.01.2021;380852
10.01.2021;349689
11.01.2021;324941
12.01.2021;170665
13.01.2021;324703
14.01.2021;408735
15.01.2021;336135
16.01.2021;380582
17.01.2021;327930
18.01.2021;363692
19.01.2021;346168
20.01.2021;268996
21.01.2021;361446
22.01.2021;338469
23.01.2021;349818
24.01.2021;250093
25.01.2021;350202
26.01.2021;293745
27.01.2021;299766
28.01.2021;420196
29.01.2021;427867
30.01.2021;368107
31.01.2021;339925
01.02.2021;463132
02.02.2021;303295
03.02.2021;348100
04.02.2021;368461
05.02.2021;378890
06.02.2021;585347
07.02.2021;458996
08.02.2021;460961
09.02.2021;230474
10.02.2021;397513
11.02.2021;365487
12.02.2021;423846
13.02.2021;280790
14.02.2021;378108
15.02.2021;500992
16.02.2021;350824
17.02.2021;466926
18.02.2021;466122
19.02.2021;471468
20.02.2021;452039
21.02.2021;383388
22.02.2021;608887
23.02.2021;353351
24.02.2021;378718
25.02.2021;442699
26.02.2021;408756
27.02.2021;487228
28.02.2021;542738
01.03.2021;588216
02.03.2021;334891
03.03.2021;335943
04.03.2021;535602
05.03.2021;535072
06.03.2021;504323
07.03.2021;527705
08.03.2021;498490
09.03.2021;376262
10.03.2021;328108
11.03.2021;483654
12.03.2021;489653
13.03.2021;421333
14.03.2021;501323
15.03.2021;453931
16.03.2021;346874
17.03.2021;412648
18.03.2021;450258
19.03.2021;331141
20.03.2021;407766
21.03.2021;340991
22.03.2021;395623
23.03.2021;238693
24.03.2021;270846
25.03.2021;417195
26.03.2021;510923
27.03.2021;475978
28.03.2021;347882
29.03.2021;531935
30.03.2021;259405
31.03.2021;448990
01.04.2021;450279
02.04.2021;369166
03.04.2021;513582
04.04.2021;376125
05.04.2021;380755
06.04.2021;286128
07.04.2021;397984
08.04.2021;390240
09.04.2021;353578
10.04.2021;493011
11.04.2021;499431
12.04.2021;519636
13.04.2021;274215
14.04.2021;432198
15.04.2021;490616
16.04.2021;410925
17.04.2021;468853
18.04.2021;421163
19.04.2021;500711
20.04.2021;304191
21.04.2021;447326
22.04.2021;537148
23.04.2021;510885
24.04.2021;439137
25.04.2021;424823
26.04.2021;655787
27.04.2021;368832
28.04.2021;498804
29.04.2021;527451
30.04.2021;456170
01.05.2021;480894
02.05.2021;513508
03.05.2021;490271
04.05.2021;325598
05.05.2021;426020
06.05.2021;378983
07.05.2021;346729
08.05.2021;381113
09.05.2021;372391
10.05.2021;467211
11.05.2021;321504
12.05.2021;426690
13.05.2021;460006
14.05.2021;331031
15.05.2021;436721
16.05.2021;455648
17.05.2021;470807
18.05.2021;350218
19.05.2021;390599
20.05.2021;484926
21.05.2021;425130
22.05.2021;392982
23.05.2021;443339
24.05.2021;383223
25.05.2021;329984
26.05.2021;476307
27.05.2021;471591
28.05.2021;302999
29.05.2021;381940
30.05.2021;353087
31.05.2021;309425
01.06.2021;237838
02.06.2021;367173
03.06.2021;371743
04.06.2021;344731
05.06.2021;361023
06.06.2021;348629
07.06.2021;331755
08.06.2021;321169
09.06.2021;425506
10.06.2021;438946
11.06.2021;293543
12.06.2021;258703
13.06.2021;287707
14.06.2021;405447
15.06.2021;225800
16.06.2021;390792
17.06.2021;562688
18.06.2021;430307
19.06.2021;542609
20.06.2021;425425
21.06.2021;495211
22.06.2021;369141
23.06.2021;458762
24.06.2021;506233
25.06.2021;454842
26.06.2021;422922
27.06.2021;387090
28.06.2021;339241
29.06.2021;230885
